2026-07-12 20:43:52,608 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 20:43:52,617 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:43:52,624 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 20:43:52,632 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:58:04,195 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:58:05,173 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:58:05,173 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:58:33,257 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:58:34,199 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:58:34,199 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:58:58,070 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:58:58,997 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:58:58,997 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:59:15,751 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:59:16,798 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:59:16,798 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:59:33,046 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:59:34,049 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:59:34,049 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:59:53,305 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:59:54,269 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:59:54,270 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 21:00:01,791 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 21:00:02,797 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 21:00:02,798 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 21:00:12,780 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 21:00:12,788 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 21:00:12,793 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 21:00:12,799 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 21:00:12,807 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/system/info "HTTP/1.1 200 OK"
2026-07-12 21:00:12,814 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/system/info "HTTP/1.1 200 OK"
2026-07-12 21:00:58,067 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 21:01:14,649 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 21:01:14,649 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 21:08:04,930 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 21:08:04,939 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 21:08:04,945 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 21:08:04,953 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 21:08:04,964 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/system/info "HTTP/1.1 200 OK"
2026-07-12 21:08:04,974 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/system/info "HTTP/1.1 200 OK"
2026-07-12 22:19:18,090 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 22:19:19,057 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 22:19:19,057 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 22:19:32,697 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 22:19:33,652 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 22:19:33,653 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 22:19:46,793 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 22:19:47,834 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 22:19:47,834 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 22:19:58,869 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 22:19:59,829 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 22:19:59,830 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 22:22:01,283 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 22:22:01,292 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 22:22:01,297 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 22:22:01,302 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 22:22:01,310 | INFO | httpx | HTTP Request: GET http://testserver/openapi.json "HTTP/1.1 200 OK"
2026-07-12 22:22:01,317 | INFO | httpx | HTTP Request: GET http://testserver/openapi.json "HTTP/1.1 200 OK"
2026-07-12 22:22:01,324 | INFO | httpx | HTTP Request: GET http://testserver/openapi.json "HTTP/1.1 200 OK"
2026-07-12 22:22:01,331 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/system/info "HTTP/1.1 200 OK"
2026-07-12 22:22:01,336 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/system/info "HTTP/1.1 200 OK"
2026-07-12 22:23:33,487 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 22:24:46,967 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 22:24:46,968 | INFO | app.core.startup | Entorno activo: development.
